id,name,type,power,pp,accuracy,priority,target_id,damage_class,effect_id,effect_chance
1,pound,normal,40,35,100,0,10,physical,1,100
2,karate-chop,fighting,50,25,100,0,10,physical,44,100
3,double-slap,normal,15,10,85,0,10,physical,30,100
4,comet-punch,normal,18,15,85,0,10,physical,30,100
5,mega-punch,normal,80,20,85,0,10,physical,1,100
6,pay-day,normal,40,20,100,0,10,physical,35,100
7,fire-punch,fire,75,15,100,0,10,physical,5,10
8,ice-punch,ice,75,15,100,0,10,physical,6,10
9,thunder-punch,electric,75,15,100,0,10,physical,7,10
10,scratch,normal,40,35,100,0,10,physical,1,100
11,vice-grip,normal,55,30,100,0,10,physical,1,100
12,guillotine,normal,-1,5,30,0,10,physical,39,100
13,razor-wind,normal,80,10,100,0,11,special,40,100
14,swords-dance,normal,-1,20,100,0,7,status,51,100
15,cut,normal,50,30,95,0,10,physical,1,100
16,gust,flying,40,35,100,0,10,special,150,100
17,wing-attack,flying,60,35,100,0,10,physical,1,100
18,whirlwind,normal,-1,20,100,-6,10,status,29,100
19,fly,flying,90,15,95,0,10,physical,156,100
20,bind,normal,15,20,85,0,10,physical,43,100
21,slam,normal,80,20,75,0,10,physical,1,100
22,vine-whip,grass,45,25,100,0,10,physical,1,100
23,stomp,normal,65,20,100,0,10,physical,151,30
24,double-kick,fighting,30,30,100,0,10,physical,45,100
25,mega-kick,normal,120,5,75,0,10,physical,1,100
26,jump-kick,fighting,100,10,95,0,10,physical,46,100
27,rolling-kick,fighting,60,15,85,0,10,physical,32,30
28,sand-attack,ground,-1,15,100,0,10,status,24,100
29,headbutt,normal,70,15,100,0,10,physical,32,30
30,horn-attack,normal,65,25,100,0,10,physical,1,100
31,fury-attack,normal,15,20,85,0,10,physical,30,100
32,horn-drill,normal,-1,5,30,0,10,physical,39,100
33,tackle,normal,40,35,100,0,10,physical,1,100
34,body-slam,normal,85,15,100,0,10,physical,7,30
35,wrap,normal,15,20,90,0,10,physical,43,100
36,take-down,normal,90,20,85,0,10,physical,49,100
37,thrash,normal,120,10,100,0,8,physical,28,100
38,double-edge,normal,120,15,100,0,10,physical,199,100
39,tail-whip,normal,-1,30,100,0,11,status,20,100
40,poison-sting,poison,15,35,100,0,10,physical,3,30
41,twineedle,bug,25,20,100,0,10,physical,78,20
42,pin-missile,bug,25,20,95,0,10,physical,30,100
43,leer,normal,-1,30,100,0,11,status,20,100
44,bite,dark,60,25,100,0,10,physical,32,30
45,growl,normal,-1,40,100,0,11,status,19,100
46,roar,normal,-1,20,100,-6,10,status,29,100
47,sing,normal,-1,15,55,0,10,status,2,100
48,supersonic,normal,-1,20,55,0,10,status,50,100
49,sonic-boom,normal,-1,20,90,0,10,special,131,100
50,disable,normal,-1,20,100,0,10,status,87,100
